game_id,name_jp,description_en,description_jp
202976,世界の七不思議デュエル：パンテオン,"A pantheon from several civilizations &mdash; including Greek, Egyptian, and Middle-Eastern &mdash; gets added to 7 Wonders Duel in 7 Wonders Duel: Pantheon, with each god having its own power to help you or hinder your opponent.&#10;&#10;During Age I you collect mythology tokens &mdash; which allow you to choose which deities have a place in the Pantheon &mdash; and during Age II you collect offering tokens, which help you court those deities. Then, during Ages II and III, you can activate a god or goddess in the Pantheon instead of taking a card from the pyramid. To do so, you pay whatever that god or goddess demands from you in offerings, then place it next to your city.&#10;&#10;With Isis on your side, you can use a card from the discard pile to construct one of your Wonders for free. Zeus, whose nod determines what happens and what does not, enables you to discard any single card from the card structure that you want, as well as any mythology or offering token that may be on it. The Phoenician goddess Tanit, whose people were renowned for trade, fills your coffers with twelve pieces of gold. Enki, the Sumerian god of crafts, technology, and creation, lets you choose one of two progress tokens. Minerva's ability to stop the conflict pawn from moving toward you can assist with a military victory or save you from military defeat.&#10;&#10;What's more, instead of adding three guild cards to the deck for Age III, you add three of five Grand Temples. Each Grand Temple belongs to a different Mediterranean culture, and if you possess a mythology token from that culture, you can build the temple for free. These temples are worth a total of 5, 12, or 21 points, depending on how many you build.&#10;&#10;7 Wonders Duel: Pantheon also includes two new Wonders: the Sanctuary (which gives you an additional turn and allows you to invoke deities at a reduced price) and the Divine Theater (which grants points and access to additional gods).&#10;&#10;",
346703,世界の七不思議：建築家たち,"In 7 Wonders: Architects, 2-7 players race to become a leader of the ancient world by completing an architectural wonder that will last through the ages.&#10;&#10;Players receive an unconstructed wonder at the beginning of the game and must collect resources to build their society, develop military might to navigate conflicts, oversee resource management, research science improvements, and collect civil victory points as they race to leave their mark on world history.&#10;&#10;",
302260,アーティチョークなんて大キライ,"Abandon All Artichokes isn't your garden-variety card game!&#10;&#10;A bumper-crop of prickly produce has overtaken your patch, and there's only one choice: abandon all artichokes!  Prune your deck by harvesting fresh vegetables, each with a special power that lets you swap, discard, or compost cards. You need luck, strategy, and a green thumb to grow a winning hand!&#10;&#10;&mdash;description from the publisher&#10;&#10;",
267813,アドベンチャーゲーム：ザダンジョン,"Explore places, combine items, and experience stories in Adventure Games, a series of co-operative games from German publisher KOSMOS. In each of these titles, players are presented with a mysterious story that they must unravel over the course of play. Working together, players explore common areas, talk to people, look for clues, and combine various items to reveal the secret of the story. Depending on what decisions the players make, the course of history changes and there is no going back!&#10;&#10;Unlike the co-operative EXIT: The Game series, titles in this series focus on the telling and discovery of the story with no time pressure. That said, many different paths can be experienced during play, with more than one correct resolution to the story waiting to be discovered. Each title consists of three chapters, each taking about 75 minutes to play. Nothing is destroyed, so the games can be played multiple times.&#10;&#10;In The Dungeon, the players awaken in a prison cell in the middle ages with no memory of how they got there. What happened? What strange things are taking place in this dungeon? And most importantly, how can they get out? Over three chapters, players will jointly explore rooms, combine objects, and perhaps even encounter creatures that lurk in the dark rooms of the old castle...&#10;&#10;",
256568,アドベンチャーアイランド,"It could have been so great! A nice, comfortable journey on a luxurious ship...&#10;&#10;Unfortunately, your ship got hit by a storm on the way to India and sank. With your last bit of strength and a huge amount of luck, you made it to the banks of a desert island. Through a miracle, you are not hurt, but you are exhausted and disheartened. How will you escape from this unfamiliar desert island? Or maybe the island is not so deserted after all? As a group of shipwrecked passengers, you need to survive, explore the island, and find a way home.&#10;&#10;Adventure Island tells a continuous story in multiple parts. Players have to work together to survive. Their decisions influence the development of the story and add new elements to the game. Achievements reached throughout the game unlock permanent bonuses. With so much to explore and no destruction of components, Adventure Island can be played over and over again.&#10;&#10;",
191189,イーオンズエンド,"The survivors of a long-ago invasion have taken refuge in the forgotten underground city of Gravehold. There, the desperate remnants of society have learned that the energy of the very breaches the beings use to attack them can be repurposed through various gems, transforming the malign energies within into beneficial spells and weapons to aid their last line of defense: the breach mages.&#10;&#10;Aeon's End is a cooperative game that explores the deckbuilding genre with a number of innovative mechanisms, including a variable turn order system that simulates the chaos of an attack, and deck management rules that require careful planning with every discarded card. Players will struggle to defend Gravehold from The Nameless and their hordes using unique abilities, powerful spells, and, most importantly of all, their collective wits.&#10;&#10;",
155695,戦国時代,"Age of War is a quick-playing game of conquest. Fourteen cards are laid out at the start of the game, each showing one castle and the symbols required to conquer this castle, with the symbols separated into battle lines. Each castle belongs to a clan, with some clans having only a single castle and some having up to four castles.&#10;&#10;A player starts his turn by rolling seven dice, the six sides of which show archery, cavalry, daimyo, and 1-3 infantry. He then selects a card and uses the symbols rolled to conquer exactly one of the battle lines on this card (by placing the appropriate dice on that line). If he can do this, he then rolls the remaining dice, ideally conquering another line; if he can't conquer a line, he removes one die from play, then rolls again. His turn ends when either he conquers every line on the card (in which case he claims it) or he no longer has dice available to roll.&#10;&#10;Each card is worth a number of victory points. You can conquer cards owned by other players, but you need to conquer an additional daimyo line in the process. If a player owns all the castles of one clan, however, those castles are secure and cannot be stolen. What's more, these castles are now worth more points because you've united the clan under one ruler (you) and strengthened your hold over Japan.&#10;&#10;When the last card is claimed, players tally their points, and whoever has the highest score wins.&#10;&#10;",
31260,アグリコラ,"Description from BoardgameNews&#10;&#10;In Agricola, you're a farmer in a wooden shack with your spouse and little else. On a turn, you get to take only two actions, one for you and one for the spouse, from all the possibilities you'll find on a farm: collecting clay, wood, or stone; building fences; and so on. You might think about having kids in order to get more work accomplished, but first you need to expand your house. And what are you going to feed all the little rugrats?&#10;&#10;The game supports many levels of complexity, mainly through the use (or non-use) of two of its main types of cards, Minor Improvements and Occupations. In the beginner's version (called the Family Variant in the U.S. release), these cards are not used at all. For advanced play, the U.S. release includes three levels of both types of cards; Basic (E-deck), Interactive (I-deck), and Complex (K-deck), and the rulebook encourages players to experiment with the various decks and mixtures thereof. Aftermarket decks such as the Z-Deck and the L-Deck also exist.&#10;&#10;Agricola is a turn-based game. There are 14 game rounds occurring in 6 stages, with a Harvest at the end of each stage (after Rounds 4, 7, 9, 11, 13, and 14).&#10;Each player starts with two playing tokens (farmer and spouse) and thus can take two turns, or actions, per round. There are multiple options, and while the game progresses, you'll have more and more: first thing in a round, a new action card is flipped over.&#10;Problem: Each action can be taken by only one player each round, so it's important to do some things with high preference.&#10;Each player also starts with a hand of 7 Occupation cards (of more than 160 total) and 7 Minor Improvement cards (of more than 140 total) that he/she may use during the game if they fit in his/her strategy. Speaking of which, there are countless strategies, some depending on your card hand. Sometimes it's a good choice to stay on course, and sometimes it is better to react to your opponents' actions...&#10;&#10;",
119890,アグリコラ　牧場の動物たち,"Agricola: All Creatures Big and Small is a new take on Uwe Rosenberg's Agricola designed for exactly two players and focused only on the animal husbandry aspect of that game. So long plows and veggies!&#10;&#10;In Agricola: All Creatures Big and Small, you become an animal breeder of horses, cows, sheep and pigs and try to make the most of your pastures. Players start with a 3x2 game board that can be expanded during play to give more room for players to grow and animals to run free. Sixteen possible actions are available for players to take, with each player taking three actions total in each of the eight rounds.&#10;&#10;The player who amasses the most victory points through enclosing space with fences and acquiring the largest number and variety of animals and victory point-generating buildings will be the winner.&#10;&#10;Four Standard Buildings and 4 special buildings are available in the base game.  These buildings each provide unique special abilities during play and/or VP at game end.  Balancing the tension between building infrastructure (fenced pastures and buildings) and acquiring animals (the single biggest source of end-game scoring) is the key to success!&#10;&#10;",
205418,ファミリコラ,"In Agricola, you're a farmer in a wooden shack with your spouse and little else. On a turn, you get to take only two actions, one for you and one for the spouse, from all the possibilities you'll find on a farm: collecting resources; building meadows; and so on. You might think about having kids in order to get more work accomplished, but first you need to expand your house. And what are you going to feed all the little rugrats?&#10;&#10;Agricola is a turn-based game. There are 14 game rounds occurring in 6 stages, with a Harvest at the end of each stage (after Rounds 4, 7, 9, 11, 13, and 14).&#10;Each player starts with two meeples that can each take an action per round. There are multiple options, and while the game progresses, you'll have more: each round a (fixed) additional option becomes available. Each action can be taken by only one player each round, so it's important to do some things with high preference.&#10;&#10;In comparison with the family game of the predecessor, much has changed: the new action each round is fixed, and the game has been simplified by removing stone and vegetables. Similar to 'Agricola: All Creatures Big and Small', there are now buildings (replacing the major improvements) that score points for leftover resources at the end of the game. &#10;Also, there are no building restrictions (nor player boards). And finally, there are no negative points or point limits anymore, each player simply scores for all he has achieved.&#10;&#10;",
6249,アルハンブラ,"Granada, 1278. At the foot of the Sierra Nevada mountains, one of the most exciting and interesting project of the Spanish Middle Ages begins: the construction of the ALHAMBRA.&#10;&#10;The best master builders in the whole of Europe and Arabia want to demonstrate their skill.  Employ the most suitable teams of builders and make sure that you always have enough of the right currency.  Because no matter whether they are stonemasons from the north or horticulturalists from the south, they all want a proper wage and insist on their &quot;native&quot; currency.  With their help towers can be constructed, gardens laid out, pavilions and arcades erected and seraglios and chambers built.&#10;&#10;In Alhambra, players are acquiring buildings to be placed within their Alhambra complex.&#10;&#10;The money in Alhambra comes in four different currencies and is available in the open money market.  The 54 buildings of six types become available for purchase in the building market four at a time; one building is available in each of the four different currencies.  On a player's turn, a player may 1) take money from the open money market, 2) purchase a building from the building market and either place it in his Alhambra or reserve, or 3) engage in construction and re-construction projects with buildings that have been placed in the player's Alhambra or reserve. The game rewards efficiency, as when a player purchases a building from the market for the exact amount of money, the player may take another turn.&#10;&#10;Players with the most buildings in each of the six building types in his Alhambra score in each of the scoring phases, and points are awarded for players' longest external &quot;wall&quot; section within their complex. The game ends when the building market can no longer be replenished from the building tile supply, and there is a final scoring, whereupon the player with the highest score wins.&#10;&#10;Integrates with:&#10;&#10;    Alhambra: The Dice Game (a variant in which you can combine Alhambra buildings with Alhambra dice.)&#10;&#10;&#10;",
136415,チーズがいっぱい,"The player mice in Alles K&auml;se want to collect as much hole-y cheese as possible, and to do so either they can play it safe, scout the territory, and see whether the cheese they find sticks around for later pilferage &ndash; or they can take a chance on a sweet-looking chunk of Swiss and possibly end up in a trap.&#10;&#10;The cards in the deck have 1-6 &quot;holes&quot; on them, with six cards in each hole denomination; on the reverse side, the cards show either cheese or a trap, with the cards showing more holes having a greater percentage of traps.&#10;&#10;To set up the game, players shuffle the 36 cards, then lay out six cards in a row with the hole side up. On a player's turn, he rolls the six-sided die. If the number on the die doesn't match the number of holes on any card in the row, the player peeks at one of these cards to see whether it shows cheese or a trap on the reverse side, then returns it to the row. (With 2-3 players, the player also moves the top card from the deck to the discard pile.) If the number on the die matches the number of holes on at least one card in the row, the player can either:&#10;&#10;&#10;    Take one of these cards, reveal it, and place it in front of himself, or&#10;    Take one of these cards and place it on the discard pile without revealing its opposite side to anyone.&#10;&#10;&#10;In either case, the player then fills the empty spot in the row with the top card from the deck.&#10;&#10;If someone collects a third trap, the game ends, this player automatically loses, and everyone else counts the number of holes on their cheese cards; trap cards are worth no points. The player with the most holes wins. The game also ends if the deck runs out, with the holeyist player once again winning.&#10;&#10;",
157291,アルパカパカパカ,"Translated intro from the game manual:&#10;&#10;An alpaca contest will be held. Breeders from across the country will compete to see who has the most beautiful alpaca. Scoring is determined by fashion sense and length of neck. To be victorious, please grow a beautiful alpaca! Let's grow a more beautiful opponent than our opponent! Negotiate with other players to collect accessories.&#10;&#10;",
234487,アルティプラーノ,"Altiplano is a bag-building game along the lines of Orl&eacute;ans, set in the South American highlands of the Andes (the &quot;Altiplano&quot;). The competition for limited resources is considerable, as it was in Orl&eacute;ans, but the greater focus in Altiplano is on building up your own production to be the best that it can be - or at least better than that of the other players!&#10;&#10;Each player starts with a unique role tile, giving them access to different goods and methods of production. Players have limited access to production at the start, but they can acquire additional production sites during the game that open up new options. The various types of goods &mdash; such as fish, alpaca, cacao, silver and corn &mdash; all have their own characteristics and places where they can be used. For example, while silver can be sold for a high price at the market, fish can be exchanged for other goods at the harbor and alpaca can produce wool at the farm that can then be made into cloth.&#10;&#10;Aside from building up an effective production, players must fulfill their orders at the right time, develop the road in good time and store their goods cleverly enough to fill their warehouses in the most valuable way. Often, a good warehouse keeper is more relevant in the end than the best producer.&#10;&#10;",
124742,アンドロイドネットランナー,"Welcome to New Angeles, home of the Beanstalk. From our branch offices in this monument of human achievement, NBN proudly broadcasts all your favorite media programming. We offer fully comprehensive streaming in music and threedee, news and sitcoms, classic movies and sensies. We cover it all. Ours is a brave new age, and as humanity hurtles into space and the future with an astonishing series of new advances every day, NBN and our affiliates are keeping pace, bringing you all the vid that's fit to view.&#10;&#10;Android: Netrunner is an asymmetrical Living Card Game for two players. Set in the cyberpunk future of Android and Infiltration, the game pits a megacorporation and its massive resources against the subversive talents of lone runners.&#10;&#10;Corporations seek to score agendas by advancing them. Doing so takes time and credits. To buy the time and earn the credits they need, they must secure their servers and data forts with &quot;ice&quot;. These security programs come in different varieties, from simple barriers, to code gates and aggressive sentries. They serve as the corporation's virtual eyes, ears, and machine guns on the sprawling information superhighways of the network.&#10;&#10;In turn, runners need to spend their time and credits acquiring a sufficient wealth of resources, purchasing the necessary hardware, and developing suitably powerful ice-breaker programs to hack past corporate security measures. Their jobs are always a little desperate, driven by tight timelines, and shrouded in mystery. When a runner jacks-in and starts a run at a corporate server, he risks having his best programs trashed or being caught by a trace program and left vulnerable to corporate countermeasures. It's not uncommon for an unprepared runner to fail to bypass a nasty sentry and suffer massive brain damage as a result. Even if a runner gets through a data fort's defenses, there's no telling what it holds. Sometimes, the runner finds something of value. Sometimes, the best he can do is work to trash whatever the corporation was developing.&#10;&#10;The first player to seven points wins the game, but not likely before he suffers some brain damage or bad publicity.&#10;&#10;The Revised Core Set for Android: Netrunner released in late 2017 includes cards from the original Core Set released in 2012 as well as cards from the Genesis Cycle and Spin Cycle series of Data Packs. While the cards in this set have been released previously, the art on some of them is new.&#10;&#10;",
304821,ワニに乗る　クリスマスエディション,"Animal Upon Animal: Christmas Edition is a special winter-themed edition of Animal Upon Animal.&#10;&#10;The animals are climbing all over each other to form an ever-taller Christmas pyramid. But which one will make it to the top? The players decide by carefully balancing squirrels, snow bunnies, penguins and reindeer on stars, fir trees, sleds, and even on top of each other. The first player to place all of their figures safely onto the pyramid wins this wobbly Christmas stacking game.&#10;&#10;",
